id,set,theme,title,image_description,size_pinned,fits_spec,cutting,solutions,a4_yield,cost,selling_level,selling,notes
P10,House Number & Street Name,House + floral,"Number nested inside a house-outline frame, vs. a tight square-outline variant","Marketing image: dark green bin showing a white house-shaped outline icon containing '12 / Custom' and a separate square outline containing '34 / CUSTOM STREET', captioned 'Customize numbers and street names'.",Not stated,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec if reinterpreted,"As pinned: new vinyl line. Adapted: ~£0.14–0.47/sticker, same as your current set — a thin outline uses very little extra ink",Medium-High,Medium-High — the house-outline-as-frame composition is distinctive and different from anything in your current 10,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was outline shape as a cut frame — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. One of the strongest 'doable now' ideas in this batch: print the house-outline shape as a decorative FRAME around the number/street (instead of your usual plain rectangle border), then guillotine-trim to a rectangle as normal. You're not cutting along the house shape at all, just printing it as ink — no Cricut needed. Different composition from your existing #5 (icon sits separately above the number); here the icon outline IS the border."
P11,House Number & Street Name,Minimal,"'63 dundee close', rounded modern number + handwritten script street name","Grey bin, white '63' in a rounded modern number style above a thin underline, with 'dundee close' in a cursive script font beneath.",Not stated — estimated ~140×100mm,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec once a border is added,"As pinned: new vinyl line. Adapted: ~£0.14–0.47/sticker, same as your current set",Medium-High,"Medium-High — a font pairing none of your current 10 designs use (they're all serif+serif or sans+sans, not rounded-modern + script)","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin script text — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Genuinely new and fully doable now once a border is added: this is the cleanest 'take the idea, skip the equipment problem' case in the whole board. As cut vinyl, thin script strokes are a real weeding headache (flagged in the earlier vinyl-cutting research) — but since you print rather than cut, that limitation doesn't apply to you at all. Worth building as an 11th style, e.g. 'Modern Script'."
P09c,House Number & Street Name,Minimal,"'254 Adams Drive', number + underline + street, no border (Noodle Poodles shop)","Black bin, Amazon-style product photo: white cut-vinyl '254 / ADAMS DRIVE' with a thin underline, 'Stylish Wheelie Bin Stickers' badge, 'Noodle Poodles' watermark.",Not stated,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec once a border is added — already = Minimal (#2),Same as P09a,High,High,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin, no border — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Third sighting of this exact layout, now from a third different seller. Combined with P08 and P09a/b, this format has appeared 5 times across 4 sellers in just 32 pins — this is not a niche style choice, it's close to the default expectation in this market. Strongly reinforces prioritising a clean borderless option alongside your Minimal design (#2)."
P12,House Number & Street Name,Classic/ornate border,"'75 Darby Road' in a bordered rectangle with ornate corner scrollwork, sold as 'LARGE' size tier","Dark grey bin, white cut-vinyl rounded rectangle border with ornate scroll flourishes at the corners containing '75 / Darby Road', with 'X3', 'LARGE 200MM X 155MM', and '2 DAY EXPRESS DELIVERY' marketing badges.","200 × 155mm (stated, marketed as their 'LARGE' option)",No,Doable now,"WC, CV","N/A as pinned (vinyl cut, and larger than A4-quartering math would apply to anyway)",As pinned: new vinyl line. You already have this concept built and costed as design #9,High,"High — this is real-world market validation, not just a good guess","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine scrollwork detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. You already have this exact concept as design #9 (Four-corner flourish) — this pin confirms it's genuinely being sold as a premium/large-size product, with express-delivery marketing around it. Useful new data point: this seller's 'Large' tier is 200×155mm, roughly double your current sticker's area — worth keeping as a concrete benchmark if you ever add a bigger premium size option alongside your standard 100×140mm."
P09d,House Number & Street Name,Minimal,"'25 High Street', bold number + street, no underline, no border","Two identical green bins, bold black '25' above 'HIGH STREET' in caps, no underline, no border.",Not stated,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec once a border is added,Same as P09a,High,High,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin, no border — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Fourth sighting of the borderless number+street family (with or without the underline) — see P09c note. At this point I'd treat 'offer a borderless option' as a near-certain worthwhile addition rather than a maybe."
P13,House Number & Street Name,Pet,"Illustrated grumpy cat + number/street, on a white oval card","Black bin, full-colour illustrated orange tabby cat with an annoyed expression on the left of a white oval card, '127 / STONEY LANE' text on the right, separated by a thin vertical line.",Not stated — estimated ~130×90mm oval,No,Doable now,WC,N/A as an oval. 4 per A4 if rebuilt as a 100×140mm rectangle,"~£0.14–0.47/sticker, same as your current set — full-colour illustrated art uses somewhat more ink than a flat vector icon, similar to the P05 daisy consideration",High,"High — full-colour illustrated animal characters read as more premium/giftable than flat silhouettes, and pet themes are already validated by P03 and the earlier bestseller research","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was oval card shape (swap for rectangle, no content lost) — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. One of the best 'doable now' finds on the whole board. The ONLY thing blocking this is the oval shape — swap it for a rectangle (free, no new equipment) and this is fully producible with your existing print+laminate+guillotine workflow today, no Cricut required, because it's printed on an opaque background rather than cut direct-on-bin like most of this set. Effectively an upgrade path for your paw-print design (#10): a full illustrated animal portrait instead of a flat icon. I'd prioritise this over most of the Cricut-dependent ideas so far."
P14,House Number & Street Name,Pet/wildlife,Raccoon peeking over paws + number/street,"Green bin, black cut-vinyl silhouette of a raccoon peeking over its paws, with '7458 / SALLABERRY CT.' in caps beneath.",Not stated — estimated ~150×140mm,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec if reinterpreted as a printed design,"As pinned: new vinyl line. Printed: ~£0.14–0.47/sticker, similar ink use to a detailed icon",High,"High — same 'peeking animal' composition as P03 (cat), different animal. On Etsy, animal variety within a proven format tends to multiply search hits rather than cannibalise them","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine fur/facial detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Sibling to P03 — this suggests a whole 'peeking animal' sub-series (cat, raccoon, fox, dog...) could be a genuine product line, not a one-off. As pinned needs Cricut for the fur/facial detail; a simplified flatter version could be printed today, same approach as P03."
P15,House Number & Street Name,Classic/ornate border,"Three badge shapes: circle+wreath+butterfly, circle+heart-vine wreath, hexagon+bee","Three bins (black, blue, green), each with a different white cut-vinyl badge: a laurel wreath with a butterfly ('21 Shakespeare Close'), a heart-vine wreath ('46 Fishpond Lane'), and a hexagon with a bee icon ('5 Springfield Close').",Not stated,No,Needs Cricut,"WC, CV, CRICUT",N/A as pinned,As pinned: new vinyl line,High,High — the wreath variants reinforce the pattern already seen in P06 and validated by your own #9; the hexagon+bee is the most novel shape on the board so far,"Partial reclassification: the two wreath CIRCLES and the hexagon can be printed as flat graphics on your rectangle card (doable now) — but a die-cut circle/hexagon SHAPE specifically still needs the Cricut, since that's a real shape requirement, not just a detail/colour one. Three ideas in one pin. The wreaths need genuine Cricut precision (fine botanical detail). The hexagon is worth calling out separately: geometrically it's just straight edges, no fine internal detail — the easiest contour shape on this entire board to cut cleanly, whether by hand or machine. If you ever want a first non-rectangular product to test, the hexagon+simple-icon combo (could reuse your existing flat icon style, e.g. #4's recycle icon) is the lowest-risk starting point."
P16,House Number & Street Name,Recycling/bin-type,"'5915 Lakeshore COMPOST', bordered rounded-rect with leaf icon and bin-type label","Dark green bin, white cut-vinyl thin-outline rounded rectangle containing '5915' and 'Lakeshore', plus a small leaf icon and 'COMPOST' label.",Not stated,No,Doable now,"WC, CV",N/A as pinned. Already = 4 per A4 via your existing design #4,As pinned: new vinyl line. Already costed via #4 if adapted,High,High — direct real-world validation of the bin_type field already built into design #4,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was thin outline cut into vinyl — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. This is essentially your own design #4, just showing a compost/food-waste variant instead of recycling. Combined with P08's 3-lid-colour set, this is now 2 separate pins independently pointing at the same conclusion: a general/recycling/compost bundle around #4 is a validated idea, not a guess. Doable now, literally no new design work: add 'COMPOST' as another bin_type value alongside 'RECYCLING' in the script."
P17,House Number & Street Name,Minimal,'36 Central Avenue' stacked inside a plain thin circle outline,"Two bins (green, black/grey), white/black text '36 / Central Avenue' stacked inside a plain thin circle outline.",Not stated,No,Doable now,"WC, CV",N/A as a true circular die-cut. 4 per A4 if built as a printed circle motif on a rectangle card,"As pinned: new vinyl line. Adapted: ~£0.14–0.47/sticker, same as your current set",Medium-High,"Medium-High — a genuinely different card shape, and its plain simplicity (no wreath/flourish) keeps it easy to reproduce well","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was circle outline as a cut shape — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Doable now with the same fix as P01/P10: print the circle outline as ink inside your standard rectangle card rather than actually cutting a circular sticker — guillotine-trimmed as always. If you ever do want a true circular die-cut product later, a plain circle (no fine internal detail, unlike the wreaths in P15) is one of the easiest shapes on this whole board to contour-cut cleanly — worth remembering as a good 'first' Cricut product once that's in the workflow."
P18,House Number & Street Name,Minimal,"Number-only sticker, no street name (sold in sets of 2, letters A-Z also available)","Amazon-style product photo: dark navy bin with a large white '123', 'Set Of 2' and 'Now Includes Letters A To Z' marketing text overlaid, no street name.",Not stated,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec if printed as a simplified 'number only' variant,"As pinned: new vinyl line. Adapted: same ~£0.14–0.47/sticker — a shorter design doesn't meaningfully reduce ink/material cost, it's a content simplification, not a cost saving",High,"High — 4.7★/369 reviews, '50+ bought in past month'. Real evidence some customers want just the number, not the full address","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin, no border — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Worth adding a 'number only' lightweight variant across your existing styles (just omit the street_name text) as a simpler/faster option to offer, especially for customers who don't want their full address visible. Also notable: the same seller sells house letters (A-Z) alongside numbers — a small additional SKU idea for houses named rather than numbered."
P19,House Number & Street Name,House + floral,"House-outline icon containing number+street, filled in multiple solid colours","Marketing image: black bin with a white house-outline icon containing '198 / Your Street Name', plus 4 colour swatches (red/yellow/blue/green) of the same house shape filled solid, a hand peeling a pink version, captioned 'Customisable Stickers' and 'Custom Text'.",Not stated,No,Needs Cricut,"WC, PTC, CRICUT","N/A directly comparable — but since one small house shape is well within the ~183×270mm Print-Then-Cut registration-mark limit (unlike your 4-up rectangle sheet), multiple could plausibly fit in one pass depending on layout","As pinned: new material line, plus this uses genuine Cricut Print-Then-Cut time (design, print, then a second machine pass to cut) — meaningfully more production time than your guillotine workflow",High,"High — same core concept as P10, now seen from a second seller, plus the multi-colour customisation angle adds appeal","Partial reclassification: the house-outline+number GRAPHIC can be printed inside your rectangle card (doable now, loses the shaped-sticker look). A true filled, die-cut house SHAPE (no card background) still needs Print-Then-Cut — that part of the idea genuinely depends on the Cricut. Important equipment note: your Equipment Guide specifically ruled OUT Print-Then-Cut for your main 4-up 100×140mm rectangle sheet, because the combined layout exceeds the registration-mark size limit. But a SINGLE small house-shaped sticker like this one is well within that limit — so Print-Then-Cut is genuinely back on the table for a standalone shaped product like this, even though it's not viable for your main bin sticker format. Worth treating as a distinct 'shaped single sticker' product line rather than trying to fit it into your existing 4-up sheet workflow."
P20,House Number & Street Name,Recycling/bin-type,"House-outline + number-only design, sold as a matching set across bin, second bin, and food caddy","Marketing image: green bin, black bin, blue 'Set of 4' bin, and a brown food waste caddy, all with a matching small white house-outline icon containing '19', captioned 'Choose Your Number 1-99'.",15cm (stated),No,Doable now,"WC, CV","N/A as pinned. 4 at our spec if printed as ink inside a rectangle card, same fix as P10/P17","As pinned: new vinyl line. Adapted: ~£0.14–0.47/sticker, same as your current set",High,"High — real Amazon listing, 4.7★/350 reviews, and it's the third separate pin (after P08, P16) independently pointing at the same conclusion: a matching bin + food-caddy bundle is a validated seller","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was outline shape as a cut frame — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. This is the strongest bundle validation yet — a real product literally selling the same design across a main bin, second bin, AND a food caddy. This is exactly the 'bundled extras (matching recycling/food caddy sticker)' idea already sitting in your Growth Plan's Premium tier section — worth moving that from 'idea' to 'build this' given three independent pins (P08, P16, P20) all point here. Doable now: a small food-caddy-sized version of your existing house_icon design, printed the same way as your main sticker."
P21,House Number & Street Name,Pet,"EDSG 'Design 5' — trailing paw prints + number + street, on a white card","Green bin, Amazon product photo: white rectangular card with a diagonal trail of small black paw prints top-left and '76 / North Avenue' in bold serif.",Not stated — proportioned similarly to your other small-format designs,Yes,Doable now,WC,"4 per A4, matching your spec directly","~£0.14–0.47/sticker, same as your current set",High,"High — this is EDSG, the exact same brand that anchored your original Competitor Research (4.8★/5,046 reviews on their main listing). This specific paw-print variant ('Design 5') has 1,337 reviews at 4.7★ on its own. About as strong a validation signal as anything on this entire board.","This is your existing design #10, already validated at real scale by the same trusted brand your whole project started with. One easy upgrade worth making: swap your single paw icon for a small diagonal TRAIL of 4-5 paw prints, like this listing — a quick change to draw_paw_icon's usage, no new equipment, no new artwork technique needed."
P22,House Number & Street Name,Pet,"Two cats perched on top of a white number/street card (LondonDecal, Etsy)","Black bin, Etsy product photo: white rectangular card with '95 / OAK LANE' in bold serif, two white cat silhouettes sitting on top of the card overlapping its top edge, price overlay (£2.99+).","Not stated — real pricing given: £2.99+ base, £4.64+ with postage",No,Doable now,WC,N/A as pinned. 4 at our spec if the cats are resized to sit fully within the card,"As pinned: new vinyl line + irregular cut. Adapted: ~£0.14–0.47/sticker, same as your current set",High,"High — 5-star shop, real commercial pricing, and this is the third independent pin validating the pet theme (after P03, P21)","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was cats overlapping the card edge — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Useful pricing benchmark: £2.99 base / £4.64 with postage — worth comparing against your own £5–8 target range in the Business Plan; suggests your pricing is reasonable, maybe even room to nudge up given your laminated, more durable positioning. Doable now if simplified: keep the cat silhouettes fully inside the card boundary instead of overlapping the top edge — same printed-rectangle method as your other 9 designs, a two-cat variant alongside #10's paw and P21's trailing-paw idea."
P23,House Number & Street Name,Recycling/bin-type,Food waste caddy sticker sold as its own standalone product (not a bundle add-on),"Brown food waste caddy against a brick wall, white cut-vinyl '37' above a thin underline above 'Hatherton Lane', no border, Amazon-style listing screenshot.","Not stated — smaller than a full bin, caddy-proportioned",No,Doable now,"WC, CV","N/A as pinned — and note: a caddy needs its own size spec, not just a scaled-down version of your 100×140mm bin sticker","As pinned: new vinyl line. Adapted: would need a genuinely new smaller size defined and costed separately, not reused from your bin sticker sheet",High,"High — real evidence customers buy a food-caddy sticker as its own purchase, not only as a bundle freebie","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin, no border — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. The new information here isn't the visual style (that's the same borderless pattern as P08/P09 — now the single most repeated format on this whole board) — it's that a caddy sticker is a legitimate STANDALONE SKU with its own price, not just a bundle sweetener. Combined with P08/P16/P20, this makes a strong case for treating the caddy sticker as a real product to define properly (own size measurement, own cost line in the spreadsheet) rather than an afterthought bundled with the main bin sticker."
P24,House Number & Street Name,Classic/ornate border,EDSG 'Design 4' — double-line border with vertical leaf sprigs flanking left and right,"Green bin, Amazon product photo: white rectangular card, double-line border, '69 / The Avenue' in bold serif, small vertical leaf/wheat sprigs flanking the left and right sides.",Not stated,Yes,Doable now,WC,"4 per A4, matching your spec directly","~£0.14–0.47/sticker, same as your current set",Medium,"Medium — real EDSG product, but with a notably smaller review count (5) than their other listings shown elsewhere on this board (1,337+) — treat as a legitimate style worth testing, not a proven top-seller like P21/P25","Fully doable now — same printed-card production method you already use, just with side-flanking leaf sprigs instead of your existing corner ornaments (#9). A genuinely easy new style to add: reuse your existing flower/leaf drawing logic, just repositioned to the sides."
P25,House Number & Street Name,Classic/ornate border,"EDSG 'Design 11' — bold number, serif street, small flourish beneath (Amazon's Choice, 200+ bought/month)","Green bin, Amazon product photo: white rectangular card, single-line border, '96 / Roman Road' in bold serif, small decorative scroll flourish beneath the street name.",Not stated,Yes,Doable now,WC,"4 per A4, matching your spec directly","~£0.14–0.47/sticker, same as your current set",Very High,"Very High — Amazon's Choice, 200+ bought in the past month, 4.7★ — one of the strongest sales-volume signals on the entire board","This validates your own Classic design (#1) almost exactly — same core ingredients (serif number+street, single border, small flourish accent), just with the flourish placed below the street name instead of between number and street. Combined with the sales volume shown here, this is strong evidence that Classic's underlying formula — not just the corner-flourish or wreath variants — is the single safest bet of everything reviewed across all 25 ideas so far."
